Unix_Time	Spark_Count
1620736009 1
1620738266 1
1620741925 1
1620742077 1
1620742526 1
1620742886 1
1620743251 1
1620743410 1
1620743762 1
1620746324 1
1620746525 1
1620746618 1
1620746866 1
1620747801 1
1620748144 1
1620752362 2
1620752370 1
1620752742 1
1620752903 1
1620752905 1
1620753542 1
1620754081 1
1620755047 1
1620757793 1
1620758762 1
1620758925 1
1620759793 1
1620759915 1
1620760672 1
1620763169 1
1620764298 1
1620768370 1
1620768452 1
1620768548 1
1620770059 1
1620775187 1
1620780128 20
1620780130 5
1620780133 1
1620780135 2
1620889239 1
1620889241 3
1620889256 2
1620890022 1
1620894330 1
1620894338 1
1620894351 1
1620903844 2
1620903875 1
1620904230 3
1620904233 1
1620907901 1
1620909039 1
1620912468 1
1620913548 1
1620913573 1
1620913647 2
1620913649 1
1620913677 1
1620913678 4
1620914345 4
1620914347 5
1620914470 1
1620915460 4
1620915461 1
1620915463 2
1620915566 1
1620918763 1
1620918992 1
1620920661 1
1620920991 2
1620921745 1
1620922152 1
1620923166 1
1620924870 1
1620926427 1
1620926447 2
1620927253 1
1620928616 1
1620929711 1
1620931217 1
1620932342 1
1620932363 1
1620933889 1
1620934770 1
1620934803 1
1620938894 1
1620938906 1
1620943105 1
1620947107 1
1620947603 1
1620947625 1
1620948433 1
1620948444 1
1620950414 1
1620950702 1
1620950843 1
1620950941 1
1620951286 1
1620951970 1
1620952109 1
1620952506 1
1620954206 1
1620956616 1
1620956620 1
1620956621 2
1620956622 1
1620956623 1
1620956630 1
1620956643 2
1620956645 1
1620956847 1
1620957054 2
1621009075 1
1621009181 2
1621009949 1
1621009969 1
1621010037 72
1621010038 166
1621010039 207
1621010040 254
1621010041 314
1621010042 344
1621010043 413
1621010044 405
1621010045 430
1621010046 479
1621010047 526
1621010048 576
1621010049 619
1621010050 670
1621010051 721
1621010052 769
1621010053 729
1621010054 597
1621010055 485
1621010056 388
1621010057 352
1621010058 272
1621010059 174
1621010060 55
1621010061 1
1621010214 173
1621010215 251
1621010216 294
1621010217 322
1621010218 349
1621010219 410
1621010220 375
1621010221 408
1621010222 447
1621010223 492
1621010224 473
1621010225 400
1621010226 317
1621010227 218
1621010228 113
1621010229 8
1621010397 184
1621010398 252
1621010399 278
1621010400 347
1621010401 274
1621010402 208
1621010403 91
1621010404 3
1621010654 97
1621010655 243
1621010656 248
1621010657 201
1621010658 92
1621010659 8
1621010688 154
1621010689 238
1621010690 283
1621010691 322
1621010692 369
1621010693 426
1621010694 356
1621010695 297
1621010696 204
1621010697 254
1621010698 123
1621010699 14
1621010850 2
1621010852 8
1621010853 3
1621010874 2
1621010875 7
1621010877 3
1621010879 5
1621010880 2
1621010978 4
1621010979 2
1621010980 2
1621010981 1
1621010982 3
1621010983 1
1621010984 2
1621010985 5
1621010987 1
1621010988 2
1621010989 4
1621010991 4
1621010992 2
1621010994 1
1621011023 16
1621011028 11
1621011032 4
1621011033 2
1621011035 3
1621011036 9
1621011041 5
1621011331 1
1621011439 143
1621011440 185
1621011441 201
1621011442 195
1621011443 212
1621011444 189
1621011445 178
1621011446 193
1621011447 190
1621011448 199
1621011449 183
1621011450 63
1621011451 1
1621012460 1
1621013135 2
1621013136 40
1621013165 17
1621013170 8
1621013171 180
1621013172 386
1621013173 774
1621013174 632
1621013175 330
1621013180 5
1621013181 2
1621013182 9
1621013183 1
1621013184 1
1621013185 2
1621013268 1
1621013525 1
1621013737 3
1621013738 4
1621013739 3
1621013740 1
1621013746 1
1621013773 2
1621013774 3
1621013775 3
1621013776 4
1621013777 4
1621013778 4
1621013779 3
1621013780 4
1621013781 2
1621013794 1
1621013825 1
1621013851 1
1621013871 1
1621013872 3
1621013873 3
1621013874 1
1621013875 3
1621013876 1
1621013877 1
1621013878 3
1621013879 2
1621013881 1
1621013885 1
1621013902 1
1621013927 1
1621013948 1
1621013965 2
1621013995 3
1621013996 3
1621013997 2
1621013998 3
1621013999 3
1621014000 2
1621014001 4
1621014002 4
1621014003 3
1621014004 5
1621014005 3
1621014006 3
1621014007 1
1621014008 5
1621014009 1
1621014011 1
1621014039 3
1621014040 2
1621014041 3
1621014042 4
1621014043 2
1621014044 1
